nm_docente;chave;foto
ELISETE DAHMER PFITSCHER;K4183578H6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4183578H6
ELISIANE LORENZINI;K4217459Z5;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4217459Z5
ELISON ANTONIO PAIM;K4796368U5;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4796368U5
ELITO ARAUJO;K4793528E8;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4793528E8
ELIZABETH FARIAS DA SILVA;K4706505T2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4706505T2
ELIZETE VIEIRA VITORINO;K4727012E7;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4727012E7
ELOIR PAULO SCHENKEL;K4783094Z9;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4783094Z9
ELOISA ACIRES CANDAL ROCHA;K4782889D2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4782889D2
ELOISE HELENA LIVRAMENTO DELLAGNELO;K4784261Z2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4784261Z2
ELSON MANOEL PEREIRA;K4786215J0;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4786215J0
ELZA BERGER SALEMA COELHO;K4770590D5;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4770590D5
EMILIO ERNESTO PALADINO;K4766706P3;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4766706P3
EMILIO PIZZICHINI;K4769982Y6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4769982Y6
EMILIO TAKASE;K4784924T8;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4784924T8
